symbol,output,real_price
SW,52.277645111083984,53.35
AZO,3293.13916015625,3293.46
BA,170.308837890625,170.78
BAC,45.890377044677734,45.4
BK,77.22264099121094,77.92
BKNG,4909.58251953125,4909.79
C,72.20206451416016,72.74
CAH,118.39330291748047,119.63
CFG,46.34479904174805,44.8
COF,184.52052307128906,183.52
DELL,123.09548950195312,124.66
DPZ,423.7368469238281,424.5
FDX,275.24273681640625,273.97
FICO,1965.3394775390625,1968.01
FITB,45.13775634765625,42.94
HBAN,15.663370132446289,16.53
HLT,244.56866455078125,243.55
HPQ,33.43857192993164,33.87
INTU,624.4903564453125,625.16
IRM,101.43042755126953,103.43
ISRG,541.0880737304688,542.37
JPM,240.27166748046875,240.85
KEY,16.388742446899414,17.38
LOW,249.45748901367188,249.74
MAR,272.607666015625,272.62
MCD,289.6142578125,292.18
MCK,580.5516967773438,580.43
MO,51.9910888671875,52.09
MSCI,597.9336547851562,596.66
MTB,192.62974548339844,193.25
MTCH,34.88074493408203,33.38
MTD,1251.5491943359375,1252.25
NTRS,102.74907684326172,103.21
ORLY,1213.2510986328125,1210.47
OTIS,95.9703598022461,92.29
PM,120.29000091552734,121.0
PNC,194.6455841064453,195.59
RF,23.59825325012207,23.78
SBAC,198.18585205078125,198.93
SBUX,92.82723236083984,93.13
STT,98.05400848388672,98.43
STX,88.44966125488281,89.11
SYF,66.28931427001953,67.67
TDG,1251.71826171875,1251.32
TFC,43.81185531616211,44.1
USB,48.955379486083984,48.73
VRSN,209.94888305664062,210.68
WFC,71.18643188476562,72.03
WYNN,84.74744415283203,84.61
YUM,136.52076721191406,130.17
AMT,180.7347412109375,180.26
WDC,69.13716125488281,65.65
CSCO,57.519081115722656,58.77
GEHC,81.45585632324219,81.72
GEV,373.3216247558594,371.32
KVUE,21.731592178344727,21.11
SOLV,70.26771545410156,68.47
VLTO,97.5494155883789,101.17
DFS,180.47454833984375,179.21
EQR,67.65384674072266,68.39
RJF,160.53102111816406,159.87
A,136.20510864257812,136.43
L,81.36101531982422,82.37
AAPL,244.4097442626953,245.0
ABBV,179.4688262939453,180.1
ABNB,133.6944122314453,135.2
ABT,112.80144500732422,113.04
ACGL,90.31596374511719,90.74
ACN,356.8509826660156,351.33
ADBE,430.88140869140625,431.18
ADI,214.8114013671875,218.0
ADM,50.367919921875,49.63
ADP,287.81085205078125,287.13
ADSK,291.569091796875,292.51
AEE,86.50650024414062,86.87
AEP,89.16854095458984,90.32
AES,13.55295467376709,13.01
AFL,102.36994934082031,101.79
AIG,74.710205078125,72.47
AIZ,210.96571350097656,207.66
AJG,271.8945007324219,276.42
AKAM,92.70393371582031,93.39
ALB,89.48043060302734,90.19
ALGN,216.50552368164062,218.88
ALL,186.38229370117188,185.91
ALLE,130.51177978515625,129.12
AMAT,175.30032348632812,177.48
AMCR,8.556405067443848,9.43
AMD,125.8429183959961,129.55
AME,179.33905029296875,179.43
AMGN,256.21466064453125,258.59
AMP,531.014892578125,530.81
AMZN,226.2099151611328,227.61
ANET,123.05249786376953,118.98
ANSS,340.4704895019531,338.65
AON,352.2566833496094,348.47
AOS,67.89330291748047,68.9
APA,22.480506896972656,23.66
APD,282.4488830566406,283.24
APH,71.23957061767578,71.13
APO,168.85623168945312,169.1
APTV,60.658573150634766,61.38
ARE,99.08637237548828,97.73
ATO,134.4994354248047,136.51
AVB,211.93511962890625,212.78
AVGO,234.76602172851562,236.41
AVY,188.4634552001953,188.04
AWK,125.97539520263672,121.97
AXON,565.7520751953125,570.71
AXP,297.78277587890625,301.88
BALL,52.84294128417969,54.02
BAX,29.786779403686523,29.66
BBY,85.77983093261719,84.77
BDX,229.68556213378906,230.7
BEN,18.617399215698242,20.0
BG,78.39285278320312,77.98
BIIB,151.5865478515625,153.27
BKR,41.3674430847168,42.83
BLDR,144.48483276367188,145.65
BLK,1012.828857421875,1012.74
BMY,57.01708221435547,56.68
BR,223.535888671875,225.44
BRO,100.1620864868164,100.92
BSX,90.72640228271484,91.29
BWA,32.46467971801758,32.08
BX,175.83499145507812,174.79
BXP,77.85029602050781,71.99
CAG,26.9985408782959,26.89
CARR,68.0296630859375,68.71
CAT,365.0165710449219,364.2
CB,267.24407958984375,267.31
CBOE,190.43145751953125,191.76
CBRE,132.78839111328125,132.39
CCI,89.0469741821289,88.54
CCL,23.0351619720459,24.13
CDNS,307.65899658203125,308.14
CDW,179.36412048339844,179.29
