symbol,currentPrice,sharesOutstanding,trailingEps,forwardEps,lastDividendValue,freeCashflow,operatingCashflow,totalRevenue,shortRatio,beta,profitMargins,revenueGrowth,earningsGrowth,debtToEquity,priceToSalesTrailing12Months,returnOnEquity,averageVolume,sharesShort,trailingPE,forwardPE,priceToBook,dividendYield
SW,53.35,520156000,0.72,3.61,0.303,2.52424,2.52424,31.59052,5.17,1.034,0.01345,1.632,1.632,82.987,1.6887976,0.0697,0.00693,0.03536,74.09721,14.423167,1.5383506,0.036
AZO,3293.46,16782200,150.51,174.32,,79.28944,179.00609,1101.77853,2.58,0.713,0.14399,0.09,0.117,-262,2.9892213,0.14281,0.00772,0.01929,21.882002,19.022161,2.9892213,
BA,170.78,748176000,-13.01,0.47,2.055,-5.59578,-7.01573,97.96224,2.12,1.572,-0.10880999,-0.015,-0.015,-245,1.7433248,-0.02665,0.01812,0.03058,244.43236,244.43236,1.7433248,
BAC,45.4,7672880128,2.76,3.66,0.26,-0.26001,-0.26001,12.33253,2.27,1.325,0.24952,-0.005,-0.1,101,3.681322,0.08092,0.00439,0.00978,16.449276,12.268016,1.2835375,0.0232
BK,77.92,727078016,4.53,6.53,0.47,-4.0312,-4.0312,24.48293,2.73,1.06,0.20038,0.047,0.22,69,3.1826255,0.08563,0.00521,0.01321,17.200882,11.77742,1.5047991,0.024400001
BKNG,4909.79,33096700,147.61,209.85,8.75,227.45093,270.35927,696.50446,3.27,1.385,0.21846001,0.089,0.065,279,7.049187,0.15423,0.00647,0.02106,33.261906,23.414164,7.049187,0.0071
C,72.74,1891260032,3.51,7.19,0.56,-25.97792,-25.97792,36.64647,2.74,1.426,0.11524,-0.024,-0.074,319,1.9849117,0.03874,0.0071,0.01911,20.723646,9.98216,0.71378803,0.0315
CAH,119.63,242010000,5.22,8.64,0.506,7.87674,6.55758,927.45755,2.68,0.616,0.0057,-0.043,-0.043,-157.6,0.12898704,0.03175,0.0086,0.02386,22.917625,13.754211,0.12898704,0.017
CFG,44.8,440700992,2.56,3.87,0.42,4.96482,4.96482,16.14473,2.86,1.32,0.18229,-0.061,-0.094,55.99,2.7748988,0.05426,0.00961,0.02399,17.5,11.612415,0.874044,0.0377
COF,183.52,381230016,10.77,15.66,0.6,59.83527,59.83527,69.50397,5.98,1.432,0.16455,0.064,-0.009,78,2.6404247,0.07479,0.00745,0.04092,17.039925,11.740471,1.2054888,0.013300001
DELL,124.66,357336992,5.87,9.4,0.445,9.00585,16.98117,257.00949,1.56,0.954,0.04325,0.091,0.857,-1095,0.9145576,0.04377,0.02065,0.02837,21.2368,13.26293,0.9145576,0.0126
DPZ,424.5,34532000,15.75,17.64,1.51,13.41927,17.82732,135.10582,4.05,0.859,0.122609995,0.031,0.301,-125,3.2424955,0.31768,0.01696,0.06641,26.952381,24.072487,3.2424955,0.0138
FDX,273.97,240851008,15.67,22.75,1.38,12.60582,30.18048,363.67297,2.77,1.177,0.0462,0.139,-0.133,139,0.75454897,0.1507,0.00667,0.01673,17.483727,12.053419,2.4266393,0.02
FICO,1968.01,24347900,20.47,37.17,0.02,21.86502,25.99666,70.54103,3.99,1.352,0.29858,0.164,0.353,-234,27.898798,0.27847,0.00644,0.02423,96.14119,53.345325,27.898798,
FITB,42.94,663881984,3.04,3.65,0.37,7.52694,7.52694,12.14523,5,1.231,0.27583,-0.03,-0.143,65,3.535544,0.119160004,0.00648,0.02833,14.125,11.88098,1.5555716,0.0349
HBAN,16.53,1452809984,1.03,1.34,0.155,0.84595,0.84595,4.60487,2.23,1.057,0.24709,-0.012,-0.057,48,3.5896788,0.08545,0.00987,0.01942,16.048544,12.279464,1.3186024,0.0377
HLT,243.55,243780000,4.63,7.99,0.15,6.26026,7.7775,19.25917,3.17,1.307,0.25069,0.063,-0.042,-345,12.800147,0.09082,0.0055,0.01726,52.602592,30.420328,12.800147,0.0024
HPQ,33.87,937798016,2.87,3.6,0.289,3.46783,4.37301,56.85766,6.19,1.087,0.053319998,0.024,-0.145,-8.25,0.5956981,0.07047,0.00747,0.04058,11.8013935,9.021366,0.5956981,0.028199999
INTU,625.16,279916992,10.19,22.23,1.04,15.17191,17.44803,58.17796,3.14,1.246,0.18195,0.41,-0.185,21,10.832792,0.16597,0.00542,0.01372,61.35034,28.31397,9.5038,0.0061
IRM,103.43,293460000,0.35,1.96,0.715,-0.77033,4.13113,20.40639,5.71,1.023,0.01748,0.122,0.122,3658,5.1797566,0.54398996,0.00538,0.02715,295.51428,52.70453,5.1797566,0.0271
ISRG,542.37,356179008,6.29,7.86,,1.7899,5.11176,22.08693,2.98,1.389,0.28513,0.169,0.345,0.6,24.556154,0.15973,0.00366,0.01039,86.22735,69.03745,12.397311,
JPM,240.85,2815340032,17.98,16.74,1.25,-46.01185,-46.01185,57.59447,3.61,1.091,0.33163,0.03,0.009,133.2,4.181825,0.16216,0.00307,0.01037,13.39544,14.089978,2.0916197,0.020599999
KEY,17.38,1106530048,1.56,1.56,0.205,-0.0235,-0.0235,4.38488,2.17,1.231,0.0305,-0.602,-0.602,153,3.9636219,0.009670001,0.00842,0.0155,11.189585,11.189585,1.2003591,0.047399998
LOW,249.74,564649984,12.09,12.63,1.15,10.77083,16.97866,148.80546,3.28,1.098,0.08248,-0.055,-0.086,-296,1.6782987,0.14649999,0.0041,0.01237,20.656742,19.714085,1.6782987,0.016900001
MAR,272.62,277892992,9.46,10.6,0.63,9.1663,11.45045,23.64219,4.56,1.585,0.42131,0.066,-0.175,-563,11.643613,0.091450006,0.0045,0.01918,28.818182,25.711712,11.643613,0.0092
MCD,292.18,716620032,11.38,12.61,1.67,10.18708,12.98443,36.19589,3.06,0.735,0.3179,0.027,-0.013,-765,8.072186,0.13629,0.0049,0.01256,25.674868,23.165852,8.072186,0.024
MCK,580.43,126940000,19.44,36.81,0.71,34.54782,40.34189,2601.12663,2.77,0.436,0.00768,0.213,-0.62,-239,0.2231456,0.03917,0.00652,0.01605,29.85751,15.822899,0.2231456,0.0049
MO,52.09,1694809984,5.92,5.35,1.02,2.5522,5.09792,12.01433,3.91,0.67,0.50511,0.013,0.099,-736,4.335657,0.21103,0.00446,0.01672,8.798986,9.733884,4.335657,0.076799996
MSCI,596.66,78371296,15.1,17.04,1.6,14.32602,18.62859,35.76214,1.79,1.11,0.43065,0.159,0.092,-614,16.818903,0.18283,0.00578,0.01045,39.513905,35.000095,16.818903,0.0106
MTB,193.25,165920992,13.64,16.28,1.35,16.47772,16.47772,51.22317,3.7,0.732,0.28109,0.012,0.01,48.77,3.7727065,0.08676,0.00685,0.02156,14.167889,11.887809,1.2124349,0.028199999
MTCH,33.38,251091008,2.23,2.48,2,2.70674,3.79993,13.88112,3.55,1.487,0.17864001,0.016,-0.11,-4346,2.4047048,0.123950005,0.01769,0.06109,14.96861,9.919173,2.4047048,0.0233
MTD,1252.25,21102700,37.44,42.6,,36.63955,46.61318,178.28173,2.09,1.159,0.21148,0.013,0.081,-1346,7.023995,0.20142001,0.00629,0.01466,33.44685,29.598219,7.023995,
NTRS,103.21,198218000,8.02,7.64,0.75,24.98259,24.98259,39.6412,1.75,1.073,0.21493,0.145,0.49,37,2.6053772,0.13732,0.00629,0.01164,12.869077,13.079922,1.7243626,0.029000001
ORLY,1210.47,57730700,40.67,44.94,,24.70508,50.95241,284.85525,2.52,0.92,0.14522,0.038,0.064,-372.4,4.2494216,0.14369,0.00575,0.01408,29.763216,26.937662,4.2494216,
OTIS,92.29,399460992,4.02,4.19,0.39,2.96024,3.67996,35.56292,4.33,0.942,0.11481,0.007,0.473,-151.9,2.5951188,0.14079,0.00463,0.01875,22.957712,21.880558,2.5951188,0.0168
PM,121,1554829952,6.3,7.2,1.35,5.92074,7.40724,23.93767,2.34,0.56,0.26417,0.084,0.493,-507.8,5.0547953,0.13116,0.00322,0.00732,19.206348,16.969643,5.0547953,0.044299997
PNC,195.59,396783008,11.83,15.01,1.6,27.58183,27.58183,51.62519,2.82,1.121,0.25107,0.017,-0.031,94,3.7894368,0.099020004,0.00467,0.0126,16.53339,12.955048,1.5701967,0.0327
